Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Subform: score.css,Other,Subform — configuration/pih/htmlforms/css/score.css,subform,No,no,,,,
Subform: 37-Grid.css,Other,Subform — configuration/pih/htmlforms/css/37-Grid.css,subform,No,no,,,,
PIH:21371,Coded,N/A,radio,No,no,PIH:21371,,,
PIH:21372,Coded,N/A,radio,No,no,PIH:21372,,,
PIH:21373,Coded,N/A,radio,No,no,PIH:21373,,,
PIH:21374,Coded,N/A,radio,No,no,PIH:21374,,,
PIH:21375,Coded,N/A,radio,No,no,PIH:21375,,,
PIH:21376,Coded,N/A,radio,No,no,PIH:21376,,,
PIH:21384,Coded,N/A,radio,No,no,PIH:21384,,,
PIH:21377,Coded,N/A,radio,No,no,PIH:21377,,,
PIH:21378,Coded,N/A,radio,No,no,PIH:21378,,,
PIH:21379,Coded,N/A,radio,No,no,PIH:21379,,,
PIH:21380,Coded,N/A,radio,No,no,PIH:21380,,,
PIH:21381,Coded,N/A,radio,No,no,PIH:21381,,,
PIH:21382,Coded,N/A,radio,No,no,PIH:21382,,,
PIH:21383,Coded,N/A,radio,No,no,PIH:21383,,,
PIH:21385,Coded,N/A,radio,No,no,PIH:21385,,,
Gestational by date,Coded,N/A,radio,No,no,CIEL:163166,,,
Apgar Score1,Coded,N/A,radio,No,no,PIH:14419,,,
Apgar Score,Coded,N/A,radio,No,no,CIEL:159604,,,
Maturity rating total Score,Coded,N/A,radio,No,no,PIH:21386,,,
Gestational age by maturity,Coded,N/A,radio,No,no,PIH:21414,,,
