Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Interstitial lung disease,Coded,yes,checkbox,,Only for NCD intake encounter,PIH:DIAGNOSIS,CIEL:116711,Restrictive lung diseases,PIH:Visit Diagnoses
Post infection Tuberculosis,Coded,yes,checkbox,,Only for NCD intake encounter,PIH:DIAGNOSIS,PIH:14601,Restrictive lung diseases,PIH:Visit Diagnoses
Occupational lung disease,Coded,yes,checkbox,,Only for NCD intake encounter,PIH:DIAGNOSIS,CIEL:132486,Restrictive lung diseases,PIH:Visit Diagnoses
Other restrictive lung disease,Coded,yes,checkbox,,Only for NCD intake encounter,PIH:DIAGNOSIS,CIEL:127611,Restrictive lung diseases,PIH:Visit Diagnoses
COPD,Coded,yes,checkbox,,Only for NCD intake encounter,PIH:DIAGNOSIS,CIEL:1295,Obstructive lung diseases,PIH:Visit Diagnoses
Asthma,Coded,yes,checkbox,,Only for NCD intake encounter,PIH:DIAGNOSIS,CIEL:121375,Obstructive lung diseases,PIH:Visit Diagnoses
Bronchiectasis,Coded,yes,checkbox,,Only for NCD intake encounter,PIH:DIAGNOSIS,CIEL:121011,Obstructive lung diseases,PIH:Visit Diagnoses
Cor pulmonale,Coded,yes,checkbox,,Only for NCD intake encounter,PIH:DIAGNOSIS,CIEL:143381,Obstructive lung diseases,PIH:Visit Diagnoses
On medication with,Coded,SABA Short-acting beta-agonist|SAMA Short-acting muscarinic antagonist|LABA Long-acting beta-agonist|LAMA Long acting muscarinic antagonist|Oral steroids|Inhaled steroids|Other,radio,,,PIH:14603,PIH:14604|PIH:14605|PIH:14606|PIH:14607|PIH:14608|PIH:14609|PIH:15163,,
COPD group classification,Coded,gradeA|gradeB|gradeC|gradeD,radio,,,PIH:COPD group classification,CIEL:165441|CIEL:165442|CIEL:165443|CIEL:165444,,
Smoking cessation,Coded,yes|no|unknown,radio,,,CIEL:158939,CIEL:1065|CIEL:1066|CIEL:1067,COPD evaluation,PIH:14620
Dyspnea,Coded,yes|no|unknown,radio,,,CIEL:122496,PIH:SYMPTOM PRESENT|PIH:SYMPTOM ABSENT|PIH:SYMPTOM PRESENCE UNKNOWN,COPD evaluation,PIH:14620
Chest tightness,Coded,yes|no|unknown,radio,,,CIEL:124665,PIH:SYMPTOM PRESENT|PIH:SYMPTOM ABSENT|PIH:SYMPTOM PRESENCE UNKNOWN,COPD evaluation,PIH:14620
Wheezing,Coded,yes|no|unknown,radio,,,CIEL:5209,PIH:SYMPTOM PRESENT|PIH:SYMPTOM ABSENT|PIH:SYMPTOM PRESENCE UNKNOWN,COPD evaluation,PIH:14620
Cough,Coded,yes|no|unknown,radio,,,CIEL:143264,PIH:SYMPTOM PRESENT|PIH:SYMPTOM ABSENT|PIH:SYMPTOM PRESENCE UNKNOWN,COPD evaluation,PIH:14620
Productive cough,Coded,yes|no|unknown,radio,,,CIEL:5957,PIH:SYMPTOM PRESENT|PIH:SYMPTOM ABSENT|PIH:SYMPTOM PRESENCE UNKNOWN,COPD evaluation,PIH:14620
Increased inhaler use,Coded,yes|no|unknown,radio,,,PIH:14622,CIEL:1065|CIEL:1066|CIEL:1067,COPD evaluation,PIH:14620
Wheeze during exam,Coded,yes|no|unknown,radio,,,PIH:14623,CIEL:1065|CIEL:1066|CIEL:1067,COPD evaluation,PIH:14620
Activity limitation,Coded,yes|no|unknown,radio,,,PIH:11925,CIEL:1065|CIEL:1066|CIEL:1067,COPD evaluation,PIH:14620
Night waking due to dyspnea,Coded,yes|no|unknown,radio,,,PIH:14626,CIEL:1065|CIEL:1066|CIEL:1067,COPD evaluation,PIH:14620
