Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
PIH:3334,Coded,Type 1 Diabetes | Type 2 Diabetes | Gestational diabetes | Eclampsia | Postpartum haemorrhage | Preeclampsia | Victim of GBV (gender-based violence) | Multiple gestation | Signs of foetal distress | Abnormal foetal presentation | Sickle-cell disease | other,checkbox,No,no,PIH:3334,CIEL:142474|CIEL:142473|CIEL:1449|CIEL:118744|CIEL:230|CIEL:129251|CIEL:165088|CIEL:115491|CIEL:118256|CIEL:150862|CIEL:117703|CIEL:5622,PIH:3334,
Zl if Other Specify,Coded,N/A,radio,No,no,PIH:14679,,,
Date & time of delivery,Date,N/A,date,No,no,CIEL:5599,,,
Gestation age,Coded,N/A,radio,No,no,CIEL:165425,,,
Type of delivery,Coded,CIEL:1170 | PIH:1172 | CIEL:155884,radio,No,no,PIH:11663,CIEL:1170|PIH:1172|CIEL:155884,,
Outcome,Coded,Alive | Fsb | Msb,radio,No,CIEL:151849 → show #alive-details,CIEL:159917,CIEL:151849|CIEL:159916|CIEL:135436,,
Sex,Coded,M | F,radio,No,no,CIEL:1587,CIEL:1534|CIEL:1535,,
Birth weight,Coded,N/A,radio,No,no,CIEL:5916,,,
Birth length,Coded,N/A,radio,No,no,CIEL:163554,,,
Head circumference,Coded,N/A,radio,No,no,CIEL:163555,,,
Apgar Score1,Coded,N/A,radio,No,no,PIH:14419,,,
Apgar Score,Coded,N/A,radio,No,no,CIEL:159604,,,
Apgar Score10,Coded,N/A,radio,No,no,PIH:14785,,,
Breastfeeding initiated within 1 hour after birth,Coded,Yes | No,radio,No,no,CIEL:161543,CIEL:1065|CIEL:1066,,
Twins or multiple,Coded,Twins or multiple,checkbox,No,CIEL:115491 → show #baby-number,PIH:DIAGNOSIS,CIEL:115491,,PIH:Visit Diagnoses
Baby number,Coded,N/A,radio,No,no,CIEL:163460,,,
Subform: vital-signs-infant-widget.xml,Other,Subform — configuration/pih/subforms/vital-signs-infant-widget.xml,subform,No,no,,,,
Neo Resusc,Coded,Yes | No,radio,No,CIEL:1065 → show #type-resuscitation,CIEL:162131,CIEL:1065|CIEL:1066,,
CIEL:165995,Coded,CIEL:162738 | CIEL:167383 | CIEL:165935 | CIEL:167415,checkbox,No,no,CIEL:165995,CIEL:162738|CIEL:167383|CIEL:165935|CIEL:167415,CIEL:165995,
Method of resuscitation,Coded,Adrenaline administered,checkbox,No,no,PIH:12603,CIEL:154365,,
Diagnosis at birth,Coded,Placental abnormality | Malpresentation of foetus | Cephalopelvic disproportion | Low birth weight | Premature birth | Signs of postdates (post-term infant) | Respiratory distress | Birth asphyxia | Foetal distress | Intra-uterine foetal demise | Premature rupture of membranes | Meconium aspiration,checkbox,No,no,PIH:DIAGNOSIS,CIEL:142015|CIEL:115939|CIEL:145935|CIEL:116222|CIEL:113841|CIEL:129372|CIEL:127639|PIH:7557|CIEL:118256|CIEL:116642|CIEL:129211|CIEL:115866,Diagnosis at birth,PIH:Visit Diagnoses
Diagnosis at birth,Coded,CIEL:143849,checkbox,No,CIEL:143849 → show #malformation-details,PIH:DIAGNOSIS,CIEL:143849,Diagnosis at birth,PIH:Visit Diagnoses
Specify malformation(s):,Text,N/A,text,No,no,PIH:15086,,,
Birth Injury,Coded,Yes | No,radio,No,CIEL:1065 → show #birthInjury-details,CIEL:147277,CIEL:1065|CIEL:1066,,
Birth injury details,Text,N/A,textarea,No,no,CIEL:160686,,,
Overall condition,Coded,CIEL:160113 | CIEL:160115,radio,No,no,CIEL:160116,CIEL:160113|CIEL:160115,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
Pih app notes summary,Text,N/A,textarea,No,no,CIEL:161011,,,
