Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Subform: vital-signs-infant-widget.xml,Other,Subform — configuration/pih/subforms/vital-signs-infant-widget.xml,subform,No,no,,,,
Weight,Coded,N/A,radio,No,no,CIEL:5089,,,
Length,Coded,N/A,radio,No,no,CIEL:5090,,,
Head circumference,Coded,N/A,radio,No,no,CIEL:5314,,,
Vitals muac navigation title,Coded,N/A,radio,No,no,CIEL:1343,,,
Blood glucose (RBG),Coded,N/A,radio,No,no,CIEL:887,,,
CIEL:162121,Coded,CIEL:162122 | CIEL:162120 | CIEL:162124 | PIH:1670,checkbox,No,no,CIEL:162121,CIEL:162122|CIEL:162120|CIEL:162124|PIH:1670,CIEL:162121,
Comments about umbilical cord,Text,N/A,text,No,no,CIEL:168722,,,
CIEL:163309,Coded,PIH:3236 | CIEL:127777 | CIEL:160910 | CIEL:168745 | CIEL:168747 | CIEL:168746,checkbox,No,no,CIEL:163309,PIH:3236|CIEL:127777|CIEL:160910|CIEL:168745|CIEL:168747|CIEL:168746,CIEL:163309,
Comments about eyes,Text,N/A,text,No,no,CIEL:168722,,,
CIEL:1120,Coded,CIEL:1115 | CIEL:143050 | CIEL:115368,checkbox,No,no,CIEL:1120,CIEL:1115|CIEL:143050|CIEL:115368,CIEL:1120,
Comments about skin,Text,N/A,text,No,no,CIEL:160981,,,
Urination,Coded,Normal (Passed Urine) | Anuria (No Urination),radio,No,no,CIEL:166358,CIEL:1115|CIEL:148566,,
Comments about urination,Text,N/A,text,No,no,CIEL:166363,,,
Stool,Coded,CIEL:168748 | CIEL:168749 | CIEL:160910 | CIEL:1107,radio,No,no,CIEL:163640,CIEL:168748|CIEL:168749|CIEL:160910|CIEL:1107,,
Comments about stool,Text,N/A,text,No,no,CIEL:160965,,,
Neuro exam,Coded,CIEL:1115 | CIEL:1116,radio,No,no,CIEL:1129,CIEL:1115|CIEL:1116,,
Seizures,Coded,Yes | No,radio,No,no,PIH:206,CIEL:1065|CIEL:1066,,
Comments about neurological exam,Text,N/A,text,No,no,PIH:11570,,,
Cardiac exam,Coded,CIEL:1115 | CIEL:562,radio,No,no,CIEL:1124,CIEL:1115|CIEL:562,,
Comments about cardiac exam,Text,N/A,text,No,no,CIEL:163046,,,
Diagnoses (encounterDiagnosesByObs),Other,Pick diagnoses,diagnoses widget,No,no,,,,
Pih app notes summary,Text,N/A,textarea,No,no,CIEL:161011,,,
Feeding method,Coded,CIEL:5632 | CIEL:5254 | CIEL:170412,checkbox,No,no,CIEL:1151,CIEL:5632|CIEL:5254|CIEL:170412,Feeding method,
Feeding method,Coded,Tube | Cup | Spoon,radio,No,no,CIEL:168734,CIEL:168743|CIEL:168735|CIEL:168742,,
IV,Coded,Intravenous (IV) access,checkbox,No,no,CIEL:165995,CIEL:1765,,
Date of IV placement,Coded,N/A,radio,No,no,PIH:20289,,,
Site of IV,Coded,CIEL:166309 | CIEL:164385 | CIEL:166241 | CIEL:164387 | PIH:21117,radio,No,no,CIEL:166006,CIEL:166309|CIEL:164385|CIEL:166241|CIEL:164387|PIH:21117,,
Number of days with IV,Coded,N/A,radio,No,no,PIH:20290,,,
PIH:IVF administered,Coded,CIEL:74653 | CIEL:80804 | PIH:7898 | CIEL:161250 | CIEL:161922 | CIEL:161924 | CIEL:78617 | PIH:20465 | PIH:20466 | PIH:21128 | PIH:21129 | PIH:21130,checkbox,No,no,PIH:IVF administered,CIEL:74653|CIEL:80804|PIH:7898|CIEL:161250|CIEL:161922|CIEL:161924|CIEL:78617|PIH:20465|PIH:20466|PIH:21128|PIH:21129|PIH:21130,PIH:IVF administered,PIH:IVF construct
Ivf Vol,Coded,N/A,radio,No,no,CIEL:170482,,,PIH:IVF construct
Air supply,Coded,CIEL:162735 | CIEL:162738 | CIEL:165944,radio,No,CIEL:165944 → show #cpap; CIEL:162738 → show #oxy2,CIEL:162739,CIEL:162735|CIEL:162738|CIEL:165944,,
O2,Coded,N/A,radio,No,no,CIEL:165986,,,
CPAP machine pressure,Coded,N/A,radio,No,no,PIH:20357,,,
Fi O2,Coded,N/A,radio,No,no,CIEL:165927,,,
Respiration,Coded,CIEL:121519,checkbox,No,CIEL:121519 → show #apnea-duration,PIH:DIAGNOSIS,CIEL:121519,,PIH:Visit Diagnoses
"if apnea, specify apnea duration:",Coded,N/A,radio,No,no,PIH:20460,,,
Neo Resusc,Coded,Yes | No,radio,No,CIEL:1065 → show #type-resuscitation,CIEL:162131,CIEL:1065|CIEL:1066,,
CIEL:165995,Coded,CIEL:162738 | CIEL:167383 | CIEL:165935 | CIEL:167415,checkbox,No,no,CIEL:165995,CIEL:162738|CIEL:167383|CIEL:165935|CIEL:167415,CIEL:165995,
Number of days with respiratory support,Coded,N/A,radio,No,no,PIH:20291,,,
Transfusion,Coded,Yes | No,radio,No,CIEL:1065 → show #transfusion-details,PIH:Transfusion status,PIH:YES|PIH:NO,,
Type of transfusion,Coded,Simple | Exchange,radio,No,no,PIH:20464,PIH:20463|CIEL:167423,,
PIH:Transfusion of fluid,Coded,PIH:Whole blood | PIH:Packed red blood cells | PIH:Plasma | PIH:Platelets,radio,No,no,PIH:Transfusion of fluid,PIH:Whole blood|PIH:Packed red blood cells|PIH:Plasma|PIH:Platelets,PIH:Transfusion of fluid,PIH:Transfusion construct
CIEL:166650,Coded,N/A,radio,No,no,CIEL:166650,,,PIH:Transfusion construct
CIEL:166650,Coded,N/A,radio,No,no,CIEL:166650,,,PIH:Transfusion construct
CIEL:166650,Coded,N/A,radio,No,no,CIEL:166650,,,PIH:Transfusion construct
CIEL:166650,Coded,N/A,radio,No,no,CIEL:166650,,,PIH:Transfusion construct
Type of transfusion,Coded,CIEL:147119,checkbox,No,no,PIH:DIAGNOSIS,CIEL:147119,Type of transfusion,PIH:Visit Diagnoses
Urine output,Coded,N/A,radio,No,no,PIH:21114,,,
Estimated blood loss,Coded,N/A,radio,No,no,PIH:12555,,,
Surgery recommended,Coded,Yes | No,radio,No,no,CIEL:164258,CIEL:1065|CIEL:1066,,
Birth plan,Coded,Prophylactic eye drops,checkbox,No,no,CIEL:1651,CIEL:168724,,
Birth plan,Coded,CIEL:86352,checkbox,No,no,PIH:SUPPLEMENT RECEIVED,CIEL:86352,,
Birth plan,Coded,Vitamin D,checkbox,No,no,PIH:SUPPLEMENT RECEIVED,CIEL:105310,,
Birth plan,Coded,Umbilical cord care,checkbox,No,no,CIEL:1651,CIEL:168725,,
Treatment plan,Text,N/A,textarea,No,no,CIEL:163104,,,
Surgery,Coded,Adrenaline administered,checkbox,No,no,PIH:12603,CIEL:154365,,
Subform: drug-order-widget-newborn.xml,Other,Subform — configuration/pih/subforms/drug-order-widget-newborn.xml,subform,No,no,,,,
Remarks,Coded,N/A,radio,No,no,PIH:10637,,,
Overall condition,Coded,CIEL:160113 | CIEL:160115,radio,No,no,CIEL:160116,CIEL:160113|CIEL:160115,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
Pih app notes summary,Text,N/A,textarea,No,no,CIEL:161011,,,
