Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
PIH:DIAGNOSIS,Coded,Pihcore.Sicklecelldisease | Pihcore.Sicklecelltrait | Pihcore.Sicklecellbs | Pihcore.Sicklecellsc | Pihcore.Otherhemoglobinopathy,radio,No,no,PIH:DIAGNOSIS,CIEL:117703|CIEL:126513|CIEL:126512|CIEL:168107|CIEL:117635,,PIH:Visit Diagnoses
Other Sickle Cell Specify,Coded,N/A,radio,No,no,PIH:14924,,,
Confirmation Test,Coded,Sicklescan Rdt | Hemotypesc | Gazelle | Pihcore.Lab.Hgelectro | Hplc | Ief | Pihcore.Unknownbuttested | Pihcore.Other,radio,Yes,no,CIEL:168730,CIEL:160225|CIEL:168733|CIEL:168732|CIEL:165544|CIEL:161519|CIEL:168731|CIEL:1067|CIEL:5622,,
Clinical Indicators,Coded,PIH:20010,radio,No,PIH:SYMPTOM ABSENT → show #sc-not-asymptom,,PIH:20010,,PIH:14858
,Coded,CIEL:114403 | CIEL:140238 | CIEL:136443 | CIEL:121629 | CIEL:148346 | CIEL:112804 | CIEL:168290 | CIEL:142373 | CIEL:120749,radio,No,no,,CIEL:114403|CIEL:140238|CIEL:136443|CIEL:121629|CIEL:148346|CIEL:112804|CIEL:168290|CIEL:142373|CIEL:120749,,PIH:14858
Complications Since Last Visit,Coded,Pihcore.Yes | Pihcore.No | Pihcore.Unknown,radio,No,PIH:YES → show #scd-comp-text,PIH:14867,PIH:YES|PIH:NO|PIH:UNKNOWN,,PIH:14872
Complications label,Coded,CIEL:121629 | CIEL:162044 | CIEL:136586 | CIEL:117643 | CIEL:149871 | CIEL:148074 | CIEL:111103 | CIEL:112483 | CIEL:116128,checkbox,No,no,PIH:15157,CIEL:121629|CIEL:162044|CIEL:136586|CIEL:117643|CIEL:149871|CIEL:148074|CIEL:111103|CIEL:112483|CIEL:116128,Complications label,PIH:14872
Complications label,Coded,pihcore.other,checkbox,No,no,PIH:15157,CIEL:5622,,PIH:14872
Transfusion In12mo,Coded,Pihcore.Yes | Pihcore.No,radio,Yes,CIEL:1065 → show #transfusion-details,PIH:7868,CIEL:1065|CIEL:1066,,PIH:15162
Transfusion In12mo,Coded,N/A,radio,No,no,PIH:13748,,,PIH:15162
Transfusion In12mo,Coded,N/A,radio,No,no,CIEL:163268,,,PIH:15162
On Treatment,Coded,Yes | No,radio,Yes,CIEL:1065 → show #sickle-treatment,PIH:21462,CIEL:1065|CIEL:1066,,
PIH:14857,Coded,CIEL:76613 | CIEL:81724,checkbox,No,no,PIH:14857,CIEL:76613|CIEL:81724,PIH:14857,
{question Name},Coded,Pihcore.Yes | Pihcore.No | Pihcore.Unknown,radio,No,PIH:YES → show #scd-fui-{tog}-details,CIEL:159610,PIH:YES|PIH:NO|PIH:UNKNOWN,,PIH:14826
{question Name},Coded,Pihcore.Yes | Pihcore.No | Pihcore.Unknown,radio,No,PIH:YES → show #scd-fui-{tog}-details,CIEL:167914,PIH:YES|PIH:NO|PIH:UNKNOWN,,PIH:14826
{question Name},Coded,Pihcore.Yes | Pihcore.No | Pihcore.Unknown,radio,No,PIH:YES → show #scd-fui-{tog}-details,PIH:14741,PIH:YES|PIH:NO|PIH:UNKNOWN,,PIH:14826
{question Name},Coded,Pihcore.Yes | Pihcore.No | Pihcore.Unknown,radio,No,PIH:YES → show #scd-fui-{tog}-details,CIEL:164075,PIH:YES|PIH:NO|PIH:UNKNOWN,,PIH:14826
{question Name},Coded,Pihcore.Yes | Pihcore.No | Pihcore.Unknown,radio,No,PIH:YES → show #scd-fui-{tog}-details,CIEL:167819,PIH:YES|PIH:NO|PIH:UNKNOWN,,PIH:14826
{question Name},Coded,Pihcore.Yes | Pihcore.No | Pihcore.Unknown,radio,No,PIH:YES → show #scd-fui-{tog}-details,CIEL:167021,PIH:YES|PIH:NO|PIH:UNKNOWN,,PIH:14826
{question Name},Coded,Pihcore.Yes | Pihcore.No | Pihcore.Unknown,radio,No,PIH:YES → show #scd-fui-{tog}-details,CIEL:167022,PIH:YES|PIH:NO|PIH:UNKNOWN,,PIH:14826
Num Missing Doses Per Week,Coded,N/A,radio,No,no,CIEL:167918,,On Treatment,PIH:14826
{question Name},Coded,Pihcore.Yes | Pihcore.No | Pihcore.Unknown,radio,No,PIH:YES → show #{tog}-details,CIEL:1898,PIH:YES|PIH:NO|PIH:UNKNOWN,,PIH:14826
Sickle Cell Disease Control,Coded,Pihcore.Controlled | Pihcore.Uncontrolled | Pihcore.Complications,radio,Yes,PIH:11508 → show #sc-fui-uncontrolled,PIH:11506,PIH:11507|PIH:11508|PIH:11509,On Treatment,PIH:14826
Send For Admission,Coded,Pihcore.Yes | Pihcore.No | Pihcore.Unknown,radio,No,no,CIEL:1788,PIH:YES|PIH:NO|PIH:UNKNOWN,On Treatment,PIH:14826
Indications For Hydroxyurea,Coded,Pihcore.Yes | Pihcore.No,radio,Yes,PIH:YES → show #scd-hydroxy-details,PIH:14869,PIH:YES|PIH:NO,Indications For Hydroxyurea,PIH:14872
On Hydroxyurea,Coded,Pihcore.Yes | Pihcore.No,radio,No,PIH:NO → show #reason-no-hydroxy,PIH:14870,PIH:YES|PIH:NO,Indications For Hydroxyurea,PIH:14872
Indications For Hydroxyurea,Coded,CIEL:164377 | CIEL:1754 | PIH:15170 | PIH:15171,checkbox,No,no,PIH:15169,CIEL:164377|CIEL:1754|PIH:15170|PIH:15171,Indications For Hydroxyurea,PIH:14872
Reason Not Hydroxyurea,Coded,pihcore.other,checkbox,No,no,PIH:15169,CIEL:5622,Indications For Hydroxyurea,PIH:14872
Complications With Hydroxyurea,Coded,Pihcore.Yes | Pihcore.No,radio,No,PIH:YES → show #side-effect-hydroxy-compl-details,PIH:14871,PIH:YES|PIH:NO,Indications For Hydroxyurea,PIH:14872
Indications For Hydroxyurea,Coded,CIEL:114380 | PIH:20013 | PIH:20014 | CIEL:111721 | CIEL:512 | CIEL:5622,checkbox,No,no,PIH:20012,CIEL:114380|PIH:20013|PIH:20014|CIEL:111721|CIEL:512|CIEL:5622,Indications For Hydroxyurea,PIH:14872
Complications With Hydroxyurea,Text,N/A,text,No,no,CIEL:164377,,Indications For Hydroxyurea,PIH:14872
