Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Name of baby,Coded,N/A,radio,No,no,CIEL:1586,,,
Chart #/ Patient #,Coded,N/A,radio,No,no,CIEL:164803,,,
or Caregiver:,Coded,N/A,radio,No,no,PIH:2724,,or Caregiver:,PIH:13182
or Caregiver:,Coded,N/A,radio,No,no,PIH:6194,,or Caregiver:,PIH:13182
Encounter Date,Date,N/A,date/time,Yes,no,encounterDate,,,
Refer internal,Coded,PIH:ANTENATAL CLINIC | PIH:MATERNITY WARD | CIEL:160473,checkbox,No,no,PIH:Type of referring service,PIH:ANTENATAL CLINIC|PIH:MATERNITY WARD|CIEL:160473,Refer internal,
Refer internal,Coded,PIH:OTHER,checkbox,No,no,PIH:Type of referring service,PIH:OTHER,,
Refer external,Coded,PIH:11956,checkbox,No,no,PIH:Type of referring service,PIH:11956,,
Refer external,Coded,Non-PIH supported site,checkbox,No,no,PIH:Type of referring service,PIH:8856,,
Refer community,Coded,CIEL:1555,checkbox,No,no,PIH:Type of referring service,CIEL:1555,,
Refer community,Coded,PIH:11965,checkbox,No,no,PIH:Type of referring service,PIH:11965,,
Referral reason (autocomplete),Coded,N/A,autocomplete,No,no,CIEL:159860,,,
Other referral reason (free-text),Coded,N/A,radio,No,no,CIEL:164359,,,
Referred by,Coded,CIEL:1555 | PIH:DOCTOR | CIEL:1578 | PIH:NURSE | PIH:SOCIAL WORKER SERVICE | CIEL:1575 | CIEL:5622,radio,No,CIEL:5622 → show #other-referrer,PIH:10635,CIEL:1555|PIH:DOCTOR|CIEL:1578|PIH:NURSE|PIH:SOCIAL WORKER SERVICE|CIEL:1575|CIEL:5622,,
"if other, specify:",Coded,N/A,radio,No,no,PIH:14415,,,
Time,Date,N/A,date,No,no,PIH:14398,,,
Name of the provider,Coded,N/A,radio,No,no,PIH:13326,,,
Admission date/time,Date,N/A,date,No,no,CIEL:1640,,,
Age at admission (days),Coded,N/A,radio,No,no,PIH:14393,,,
Age at admission (hours),Coded,N/A,radio,No,no,PIH:14394,,,
Sex,Coded,M | F,radio,No,no,CIEL:1587,CIEL:1534|CIEL:1535,,
Weight at admission (kg),Coded,N/A,radio,No,no,CIEL:166604,,,
Place of delivery,Coded,CIEL:1589 | CIEL:1536 | PIH:12368 | CIEL:5622,radio,No,CIEL:5622 → show #other-delivery-place,CIEL:163774,CIEL:1589|CIEL:1536|PIH:12368|CIEL:5622,,
Zl if Other Specify,Coded,N/A,radio,No,no,PIH:1389,,,
Which facility?,Coded,PIH:14400 | PIH:14401 | PIH:14402 | PIH:14403 | PIH:14404 | PIH:14405 | PIH:14406 | PIH:14407 | PIH:14408 | PIH:14409 | PIH:12366 | PIH:12367 | CIEL:5622,radio,No,CIEL:5622 → show #other-facility,PIH:12365,PIH:14400|PIH:14401|PIH:14402|PIH:14403|PIH:14404|PIH:14405|PIH:14406|PIH:14407|PIH:14408|PIH:14409|PIH:12366|PIH:12367|CIEL:5622,,
Zl if Other Specify,Coded,N/A,radio,No,no,CIEL:163531,,,
Number of ANCs,Coded,N/A,radio,No,no,CIEL:1590,,,
Mode of delivery,Coded,Normal | Assisted (Vacuum Or Instrument) | C-Section,radio,No,no,PIH:11663,CIEL:1170|CIEL:166425|CIEL:155884,,
Diagnosis at delivery unit prior to admission at SCBU,Coded,CIEL:159908 | CIEL:116222 | PIH:7557 | CIEL:140476 | CIEL:115368 | CIEL:147125 | CIEL:137998 | CIEL:145047,checkbox,No,no,PIH:DIAGNOSIS,CIEL:159908|CIEL:116222|PIH:7557|CIEL:140476|CIEL:115368|CIEL:147125|CIEL:137998|CIEL:145047,Diagnosis at delivery unit prior to admission at SCBU,PIH:14391
Diagnosis at delivery unit prior to admission at SCBU,Coded,CIEL:5622,checkbox,No,no,PIH:DIAGNOSIS,CIEL:5622,Diagnosis at delivery unit prior to admission at SCBU,PIH:14391
"if other, specify:",Coded,N/A,radio,No,no,CIEL:161602,,Diagnosis at delivery unit prior to admission at SCBU,PIH:14391
Treatment provided at delivery unit prior to admission at SCBU,Coded,CIEL:164174 | CIEL:167724 | CIEL:164173 | CIEL:167422 | CIEL:71101 | PIH:4037 | CIEL:162738,checkbox,No,no,PIH:3513,CIEL:164174|CIEL:167724|CIEL:164173|CIEL:167422|CIEL:71101|PIH:4037|CIEL:162738,Treatment provided at delivery unit prior to admission at SCBU,
Treatment provided at delivery unit prior to admission at SCBU,Coded,CIEL:5622,checkbox,No,no,PIH:3513,CIEL:5622,,
"APGAR score at time at 1 minutes after birth (0-10, unknown)",Coded,N/A,radio,No,no,PIH:14419,,,
