Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Pih task mental Health FU label,Coded,CIEL:163468,checkbox,No,no,CIEL:163577,CIEL:163468,,
Presenting Features,Coded,PIH:OTHER,checkbox,No,no,PIH:11505,PIH:OTHER,,
Pih task mental Health FU label,Text,N/A,textarea,No,no,PIH:CLINICAL IMPRESSION COMMENTS,,,
Alertness,Coded,Alert | Somnolent | Unconscious,radio,No,no,CIEL:122943,CIEL:160282|CIEL:141762|CIEL:123818,,
Orientation status,Coded,Oriented to person,checkbox,No,no,CIEL:167084,CIEL:167081,,
Orientation status,Coded,Oriented to place,checkbox,No,no,CIEL:167084,CIEL:167082,,
Orientation status,Coded,Oriented to time,checkbox,No,no,CIEL:167084,CIEL:167083,,
Appearance,Coded,Neat | Overweight | Thin,checkbox,No,no,CIEL:167092,CIEL:159438|CIEL:114413|CIEL:124905,Appearance,
Mood,Coded,Depressed | Neutral | Elevated | Anxious | Irritable,checkbox,No,no,CIEL:167099 ,CIEL:119537|CIEL:167100|CIEL:166050|CIEL:121543|CIEL:6023,Mood,
Affect,Coded,Appropriate | Labile | Restricted | Flat,checkbox,No,no,CIEL:167101 ,CIEL:167102|CIEL:167103|CIEL:167104|CIEL:167105,Affect,
Thought process,Coded,Goal oriented | Linear | Circumferential | Tangential | Flight of ideas,checkbox,No,no,CIEL:167106 ,CIEL:167108|CIEL:167109|CIEL:167107|CIEL:167110|CIEL:167111,Thought process,
Thought content,Coded,Delusions | Denies suicidal ideation | Denies homicidal ideation | Paranoia | Negativistic,checkbox,No,no,CIEL:167112 ,CIEL:142600|CIEL:167113|CIEL:167114|CIEL:130853|CIEL:133436,Thought content,
Insight,Coded,Fair | Good | Poor,radio,No,no,CIEL:167115,CIEL:159406|CIEL:159405|CIEL:159407,,
Judgment,Coded,Fair | Good | Poor,radio,No,no,CIEL:167116,CIEL:159406|CIEL:159405|CIEL:159407,,
Comment,Coded,N/A,radio,No,no,CIEL:163044,,,
Past label,Coded,Yes | No,radio,Yes,no,CIEL:165529,PIH:YES|PIH:NO,,
Past label,Coded,Yes | No,radio,Yes,no,CIEL:129176,PIH:YES|PIH:NO,,
Current label,Coded,Yes | No,radio,Yes,no,CIEL:125562,PIH:YES|PIH:NO,,
Current label,Coded,Yes | No,radio,Yes,no,CIEL:148143,PIH:YES|PIH:NO,,
Mentalhealth date Suicide Attempt,Coded,N/A,radio,No,no,CIEL:165530,,,
