Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Hospitalization in previous 12 months,Coded,Yes | No | Unknown,radio,No,Yes → show #hospital-details,CIEL:5703,CIEL:1065|CIEL:1066|CIEL:1067,,PIH:HOSPITALIZATION CONSTRUCT
Hospitalization since last visit,Coded,Yes | No | Unknown,radio,No,Yes → show #hospital-details,CIEL:976,CIEL:1065|CIEL:1066|CIEL:1067,,PIH:HOSPITALIZATION CONSTRUCT
Number of hospitalizations in previous 12 months,Coded,N/A,radio,No,no,CIEL:5704,,,PIH:HOSPITALIZATION CONSTRUCT
Number of hospitalizations since last visit,Coded,N/A,radio,No,no,CIEL:1773,,,PIH:HOSPITALIZATION CONSTRUCT
Number of hospitalizations for NCDs,Coded,N/A,radio,No,no,PIH:15160,,,PIH:HOSPITALIZATION CONSTRUCT
Number of days,Coded,N/A,radio,No,no,PIH:2872,,,PIH:HOSPITALIZATION CONSTRUCT
NCD diagnosis which caused hospitalization,Coded,Diabetes mellitus (DM) | Hypertension | Heart failure | Chronic lung diseases (CLD) | Liver cirrhosis | Sickle cell diseases | Palliative care | Chronic kidney diseases,checkbox,No,no,PIH:12476,CIEL:119481|CIEL:117399|CIEL:139069|CIEL:155569|PIH:3714|CIEL:117703|CIEL:160849|CIEL:145438,NCD diagnosis which caused hospitalization,PIH:HOSPITALIZATION CONSTRUCT
Discharge Note discharge Date label,Coded,N/A,radio,No,no,CIEL:1641,,,PIH:HOSPITALIZATION CONSTRUCT
Other diagnoses during hospitalization,Text,N/A,textarea,No,no,PIH:6899,,,PIH:HOSPITALIZATION CONSTRUCT
# of hospitalizations for DKA in past 12 months,Coded,N/A,radio,No,no,PIH:20000,,,PIH:HOSPITALIZATION CONSTRUCT
PIH:14921,Coded,Hyperosmolar hyperglycemic syndrome | Diabetic coma with ketoacidosis | Diabetic ketoacidosis without coma | Hyperglycemia | Complicated diabetic foot | Amputation for diabetic foot,checkbox,No,no,PIH:14921,PIH:14953|CIEL:142454|CIEL:122714|CIEL:138291|PIH:14954|PIH:14955,PIH:14921,PIH:HOSPITALIZATION CONSTRUCT
PIH:6694,Coded,"Insulin glargine | Insulin glulisine | Insulin, human, regular | Metformin hydrochloride | Glibenclamide",checkbox,No,no,PIH:6694,CIEL:78064|CIEL:78065|CIEL:78082|CIEL:79652|CIEL:77071,PIH:6694,PIH:HOSPITALIZATION CONSTRUCT
