Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Vitamin A,Coded,PIH:VITAMIN A,checkbox,No,no,PIH:SUPPLEMENT RECEIVED,PIH:VITAMIN A,,PIH:SUPPLEMENT HISTORY CONSTRUCT
PIH:AGE SUPPLEMENT RECEIVED,Coded,N/A,radio,No,no,PIH:AGE SUPPLEMENT RECEIVED,,,PIH:SUPPLEMENT HISTORY CONSTRUCT
Ferrous Sulfate,Coded,PIH:FERROUS SULFATE,checkbox,No,no,PIH:SUPPLEMENT RECEIVED,PIH:FERROUS SULFATE,,PIH:SUPPLEMENT HISTORY CONSTRUCT
PIH:AGE SUPPLEMENT RECEIVED,Coded,N/A,radio,No,no,PIH:AGE SUPPLEMENT RECEIVED,,,PIH:SUPPLEMENT HISTORY CONSTRUCT
Iodine,Coded,PIH:IODINE,checkbox,No,no,PIH:SUPPLEMENT RECEIVED,PIH:IODINE,,PIH:SUPPLEMENT HISTORY CONSTRUCT
PIH:AGE SUPPLEMENT RECEIVED,Coded,N/A,radio,No,no,PIH:AGE SUPPLEMENT RECEIVED,,,PIH:SUPPLEMENT HISTORY CONSTRUCT
Deworming,Coded,PIH:DEWORMING,checkbox,No,no,PIH:SUPPLEMENT RECEIVED,PIH:DEWORMING,,PIH:SUPPLEMENT HISTORY CONSTRUCT
PIH:AGE SUPPLEMENT RECEIVED,Coded,N/A,radio,No,no,PIH:AGE SUPPLEMENT RECEIVED,,,PIH:SUPPLEMENT HISTORY CONSTRUCT
Zinc,Coded,PIH:ZINC,checkbox,No,no,PIH:SUPPLEMENT RECEIVED,PIH:ZINC,,PIH:SUPPLEMENT HISTORY CONSTRUCT
PIH:AGE SUPPLEMENT RECEIVED,Coded,N/A,radio,No,no,PIH:AGE SUPPLEMENT RECEIVED,,,PIH:SUPPLEMENT HISTORY CONSTRUCT
Zl breastfeed Exclusively,Coded,PIH:BREASTFED EXCLUSIVELY,checkbox,No,no,PIH:FEEDING METHOD PRESENT,PIH:BREASTFED EXCLUSIVELY,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl breastfeed Exclusively,Coded,PIH:BREASTFED EXCLUSIVELY,checkbox,No,no,PIH:FEEDING METHOD ABSENT,PIH:BREASTFED EXCLUSIVELY,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl breastfeed Exclusively,Coded,N/A,radio,No,no,PIH:FEEDING METHOD AGE,,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl infant Formula,Coded,PIH:INFANT FORMULA,checkbox,No,no,PIH:FEEDING METHOD PRESENT,PIH:INFANT FORMULA,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl infant Formula,Coded,PIH:INFANT FORMULA,checkbox,No,no,PIH:FEEDING METHOD ABSENT,PIH:INFANT FORMULA,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl infant Formula,Coded,N/A,radio,No,no,PIH:FEEDING METHOD AGE,,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl mixed Feeding,Coded,PIH:MIXED FEEDING,checkbox,No,no,PIH:FEEDING METHOD PRESENT,PIH:MIXED FEEDING,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl mixed Feeding,Coded,PIH:MIXED FEEDING,checkbox,No,no,PIH:FEEDING METHOD ABSENT,PIH:MIXED FEEDING,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl mixed Feeding,Coded,N/A,radio,No,no,PIH:FEEDING METHOD AGE,,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl breastfeed Stopped,Coded,PIH:WEANED,checkbox,No,no,PIH:FEEDING METHOD PRESENT,PIH:WEANED,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl breastfeed Stopped,Coded,PIH:WEANED,checkbox,No,no,PIH:FEEDING METHOD ABSENT,PIH:WEANED,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl breastfeed Stopped,Coded,N/A,radio,No,no,PIH:FEEDING METHOD AGE,,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Comment,Text,N/A,textarea,No,no,PIH:6906,,,
